iter	Logloss
0	0.6634392565
1	0.6385047442
2	0.611797697
3	0.5879810603
4	0.5676078077
5	0.5489654731
6	0.5326599175
7	0.5164408843
8	0.5000776056
9	0.4848556452
10	0.4722881792
11	0.4615404415
12	0.4502502425
13	0.4385858239
14	0.4283243565
15	0.4165264181
16	0.4068162331
17	0.3976778103
18	0.3918466927
19	0.3826633953
20	0.3745372671
21	0.3723534764
22	0.3653900455
23	0.3589587797
24	0.3524500238
25	0.3472168997
26	0.3423912973
27	0.3379936352
28	0.3355135012
29	0.3303936387
30	0.3254875978
31	0.321081288
32	0.3169168701
33	0.3138965726
34	0.3132137328
35	0.3107905561
36	0.3067518951
37	0.3047693863
38	0.3023898711
39	0.3001130935
40	0.2980029596
41	0.2957372105
42	0.2937352497
43	0.2919592077
44	0.290165805
45	0.2880068392
46	0.2862727792
47	0.2838834322
48	0.2821753463
49	0.2807578413
50	0.2793737723
51	0.2780655156
52	0.2766732106
53	0.2750547185
54	0.2736531579
55	0.2727167918
56	0.2713790873
57	0.2700721299
58	0.2688635459
59	0.2672218196
60	0.2657143984
61	0.2647837657
62	0.2631548732
63	0.2616475778
64	0.2604391309
65	0.259583256
66	0.2581631498
67	0.2567674771
68	0.2554902159
69	0.2542767282
70	0.2533233549
71	0.2524866689
72	0.2516141315
73	0.2506589497
74	0.2499521862
75	0.2493212072
76	0.2486894718
77	0.2480962538
78	0.2468226819
79	0.2462130228
80	0.2454954955
81	0.2444069294
82	0.2436558052
83	0.2428608985
84	0.2419164457
85	0.241467326
86	0.2405669911
87	0.2395632093
88	0.2389403623
89	0.238225956
90	0.2376541158
91	0.2368842829
92	0.2362165206
93	0.2353163583
94	0.2348020525
95	0.2343367762
96	0.2335112532
97	0.2329054592
98	0.2320097017
99	0.2314154946
100	0.2305889545
101	0.23025146
102	0.2299208546
103	0.2292111202
104	0.2287333415
105	0.2279667879
106	0.2275103941
107	0.2268269757
108	0.2262378019
109	0.2258149043
110	0.2250888009
111	0.2242965419
112	0.2239281664
113	0.2234856425
114	0.2227307163
115	0.22208542
116	0.2215724049
117	0.2209599699
118	0.2204210662
119	0.2199747441
120	0.2193096933
121	0.2189822222
122	0.2185113397
123	0.2180689432
124	0.2176766246
125	0.217070518
126	0.2165488164
127	0.2158894517
128	0.2155727577
129	0.2150361044
130	0.2147719878
131	0.2141715321
132	0.2136192392
133	0.2132247211
134	0.2127751805
135	0.2122705193
136	0.2115675899
137	0.2112027175
138	0.2110878514
139	0.2110859049
140	0.210588424
141	0.2096847179
142	0.2091963443
143	0.2086877707
144	0.2083379649
145	0.207811944
146	0.2073875506
147	0.2069308528
148	0.2063771028
149	0.2058469992
150	0.2055133972
151	0.2053347266
152	0.2048033706
153	0.2042912328
154	0.204240217
155	0.203656584
156	0.2032964291
157	0.2030215941
158	0.2027251768
159	0.2022948349
160	0.2019241184
161	0.201923001
162	0.2015773893
163	0.2012930716
164	0.2006923076
165	0.2004553195
166	0.2001984308
167	0.1994614689
168	0.1990743546
169	0.1987752388
170	0.1985463347
171	0.1983656431
172	0.1980548956
173	0.1972980728
174	0.196992203
175	0.1966020335
176	0.1963771378
177	0.1959662326
178	0.1955950984
179	0.1952770025
180	0.1948594636
181	0.1944620528
182	0.194122461
183	0.1935166538
184	0.1934114836
185	0.1931855135
186	0.1929145346
187	0.1925741335
188	0.1923830453
189	0.1920595542
190	0.1918986537
191	0.1915742247
192	0.1913513191
193	0.1908157004
194	0.1906387989
195	0.1904900521
196	0.1900869097
197	0.1899244355
198	0.1897067319
199	0.1896706385
200	0.1894736453
201	0.1891115832
202	0.1886895262
203	0.1882070794
204	0.1878539622
205	0.1874899331
206	0.1871334589
207	0.1866738178
208	0.1864661059
209	0.186103836
210	0.186004263
211	0.1855999953
212	0.185527872
213	0.1851935258
214	0.1846798855
215	0.1843034604
216	0.1840313298
217	0.1837623867
218	0.1834544174
219	0.1834530326
220	0.1832062472
221	0.1827657689
222	0.1823210804
223	0.1818753075
224	0.1815310248
225	0.1815014813
226	0.1810036179
227	0.1807020671
228	0.180426386
229	0.1799090168
230	0.1796967137
231	0.1795317802
232	0.1794506386
233	0.1791456762
234	0.1789278065
235	0.1786178942
236	0.1779261786
237	0.1775657337
238	0.1769892863
239	0.1765020743
240	0.176196221
241	0.1759319705
242	0.175774841
243	0.1755511144
244	0.1753112901
245	0.1752036745
246	0.175035557
247	0.1749904202
248	0.1746168452
249	0.1743722549
250	0.1741295314
251	0.1737169751
252	0.1734657733
253	0.1730673256
254	0.1727571242
255	0.1727562659
256	0.1725537405
257	0.1719065173
258	0.171408917
259	0.1713774364
260	0.1710610767
261	0.1709307258
262	0.1706546737
263	0.1704745452
264	0.1699900409
265	0.1696135651
266	0.1694252717
267	0.1694244184
268	0.169342093
269	0.1688835093
270	0.1686950709
271	0.1685060369
272	0.1683805582
273	0.1679965455
274	0.1676646033
275	0.1674173186
276	0.1671006179
277	0.1668606657
278	0.1666194576
279	0.1664685022
280	0.1662956917
281	0.166167832
282	0.1659704365
283	0.1656085941
284	0.1654924708
285	0.1650774999
286	0.164805097
287	0.1646352947
288	0.1646322122
289	0.1643754175
290	0.163909612
291	0.1637900564
292	0.1637278768
293	0.1636100816
294	0.1629850681
295	0.1627908824
296	0.1625292676
297	0.1624621481
298	0.1620062183
299	0.161346389
300	0.1609859273
301	0.1608399896
302	0.1607151601
303	0.1604479703
304	0.1601519874
305	0.1599626464
306	0.1599621302
307	0.1596753551
308	0.159354636
309	0.1592075856
310	0.1590044466
311	0.1586081338
312	0.1582980397
313	0.1578544963
314	0.1573911288
315	0.1569978373
316	0.1566776908
317	0.1565035424
318	0.1557437482
319	0.1554836288
320	0.1552901738
321	0.1550051783
322	0.1548636336
323	0.1545562082
324	0.1544220803
325	0.1542538555
326	0.1541476153
327	0.1539726025
328	0.1536979906
329	0.1533979693
330	0.1533015133
331	0.1528338548
332	0.1523479026
333	0.1521397786
334	0.1520616447
335	0.1517626261
336	0.1516828743
337	0.1515357195
338	0.1512779194
339	0.150953718
340	0.1506381781
341	0.1504812258
342	0.1503252047
343	0.1500892508
344	0.1498639995
345	0.1494053877
346	0.1492483848
347	0.148892556
348	0.1483606188
349	0.1482307504
350	0.1479457704
351	0.1476079513
352	0.1475504168
353	0.1472950787
354	0.1470518984
355	0.1467010435
356	0.1464689346
357	0.1463062084
358	0.1459591899
359	0.1456189066
360	0.1453919941
361	0.1451575951
362	0.145005727
363	0.1446257898
364	0.1444676444
365	0.1443220068
366	0.1442234245
367	0.144148454
368	0.143946406
369	0.1437672316
370	0.1437199636
371	0.1436714629
372	0.1436214196
373	0.1432746539
374	0.142990022
375	0.1428689732
376	0.1426801356
377	0.1425661366
378	0.1422549798
379	0.1420871814
380	0.1416196158
381	0.1413940875
382	0.1410560575
383	0.1409686573
384	0.1408643106
385	0.1406670013
386	0.140509218
387	0.1402226719
388	0.1400149617
389	0.1398516265
390	0.1396791846
391	0.1394144711
392	0.1392206584
393	0.1391781047
394	0.1389959773
395	0.1388650216
396	0.1386686472
397	0.1386263853
398	0.1384803864
399	0.1382453493
400	0.1379965777
401	0.1379312497
402	0.1377240108
403	0.1375868258
404	0.1374089187
405	0.1371836312
406	0.1370011287
407	0.136752743
408	0.136435073
409	0.1361565902
410	0.1361021885
411	0.1360237908
412	0.1359014129
413	0.1357807353
414	0.1356907804
415	0.1354467899
416	0.1353591203
417	0.1350778674
418	0.1347443808
419	0.1345980726
420	0.1344970892
421	0.1343249685
422	0.1341973501
423	0.1337106732
424	0.1336386075
425	0.1334609482
426	0.1334215398
427	0.1332506228
428	0.1330253199
429	0.1329033728
430	0.1328922591
431	0.1327867429
432	0.1327503189
433	0.1326711453
434	0.1325960534
435	0.1324285188
436	0.1322575069
437	0.1319736872
438	0.1317234881
439	0.1315871759
440	0.1314478936
441	0.1309789837
442	0.1309087229
443	0.1308278369
444	0.13076425
445	0.1305803229
446	0.1304433387
447	0.1302171976
448	0.1302074999
449	0.1301500529
450	0.1301287064
451	0.1300932126
452	0.1300340319
453	0.129969734
454	0.1299443199
455	0.1298978296
456	0.1298789783
457	0.1294224064
458	0.1293530944
459	0.1292782196
460	0.1292656076
461	0.1291482411
462	0.1289697075
463	0.1289587058
464	0.1287276466
465	0.1286272208
466	0.128446672
467	0.1283188753
468	0.1281056666
469	0.1278160039
470	0.1277532839
471	0.1274500645
472	0.1273308242
473	0.1270001429
474	0.1268761344
475	0.126812516
476	0.1265018318
477	0.1262067284
478	0.125977494
479	0.1258028795
480	0.1255905655
481	0.1254581523
482	0.1250835048
483	0.1250704425
484	0.1249633233
485	0.1249020377
486	0.1248094884
487	0.1246340912
488	0.1246044229
489	0.1245168475
490	0.1244768089
491	0.1244575174
492	0.1244072385
493	0.1243506776
494	0.1241735946
495	0.1239788489
496	0.1238637697
497	0.1236857391
498	0.1236009299
499	0.1234780885
500	0.1233820591
501	0.1232183664
502	0.1231511866
503	0.1230684434
504	0.1229507761
505	0.1228387009
506	0.1226921268
507	0.1225361748
508	0.1223607001
509	0.1222597902
510	0.1220572919
511	0.1220530234
512	0.1218611001
513	0.1217970866
514	0.1216549612
515	0.1213983698
516	0.1211276194
517	0.1208790788
518	0.1207408586
519	0.1205165202
520	0.1204719138
521	0.1202880321
522	0.1202289108
523	0.1201071169
524	0.1197821423
525	0.1196743659
526	0.11947806
527	0.1193673651
528	0.1193232708
529	0.1191866562
530	0.1191112956
531	0.1187798617
532	0.1186342247
533	0.1185967006
534	0.1182827935
535	0.1179943065
536	0.1177378601
537	0.1176082284
538	0.1172781503
539	0.1172075026
540	0.1171588214
541	0.1170873082
542	0.1169992387
543	0.1167540404
544	0.1165823846
545	0.1162342579
546	0.1158558004
547	0.115640071
548	0.1155535037
549	0.1154347676
550	0.1153167546
551	0.1151739331
552	0.1148196217
553	0.1147373571
554	0.1146264408
555	0.1144339944
556	0.1140813708
557	0.1139910984
558	0.1137194007
559	0.1135725229
560	0.1134282413
561	0.1132685435
562	0.113006784
563	0.1129675234
564	0.1128643504
565	0.1127640393
566	0.1124057906
567	0.1122817144
568	0.1120736113
569	0.1118293218
570	0.1114749865
571	0.111370036
572	0.1112686289
573	0.1111146971
574	0.1109065615
575	0.1108215698
576	0.1106165081
577	0.1103414836
578	0.110067911
579	0.1098203229
580	0.1097275804
581	0.1094990953
582	0.1092933803
583	0.1091909834
584	0.1089353529
585	0.1088260001
586	0.1088097494
