iter	Passed	Remaining
0	13	26492
1	21	21226
2	30	20451
3	38	18847
4	45	17944
5	64	21198
6	72	20599
7	90	22290
8	106	23436
9	128	25353
10	142	25545
11	148	24460
12	158	24128
13	168	23694
14	176	23242
15	187	23072
16	195	22686
17	204	22356
18	209	21668
19	219	21533
20	228	21359
21	231	20701
22	240	20543
23	249	20417
24	257	20177
25	264	19971
26	272	19751
27	280	19641
28	289	19538
29	297	19429
30	305	19242
31	312	19112
32	320	18992
33	328	18885
34	331	18492
35	339	18373
36	345	18221
37	353	18101
38	361	18059
39	368	17911
40	375	17813
41	382	17703
42	390	17645
43	397	17534
44	403	17421
45	411	17352
46	418	17272
47	425	17199
48	432	17116
49	440	17071
50	448	17007
51	455	16933
52	463	16913
53	470	16816
54	477	16764
55	483	16675
56	490	16589
57	495	16483
58	502	16415
59	509	16346
60	515	16274
61	522	16202
62	528	16144
63	536	16103
64	542	16039
65	549	15992
66	556	15940
67	562	15876
68	569	15812
69	574	15724
70	580	15662
71	587	15630
72	593	15560
73	601	15529
74	607	15490
75	614	15441
76	620	15392
77	627	15354
78	633	15300
79	640	15259
80	646	15198
81	652	15159
82	661	15155
83	667	15110
84	672	15048
85	679	15005
86	685	14963
87	693	14947
88	698	14895
89	705	14853
90	711	14824
91	718	14794
92	723	14733
93	729	14687
94	736	14653
95	742	14626
96	749	14588
97	756	14572
98	762	14540
99	769	14519
100	776	14483
101	782	14454
102	789	14440
103	796	14420
104	801	14357
105	807	14315
106	813	14290
107	821	14281
108	827	14241
109	834	14240
110	842	14225
111	849	14205
112	856	14201
113	863	14179
114	870	14168
115	877	14146
116	884	14123
117	890	14090
118	896	14071
119	904	14070
120	911	14056
121	918	14031
122	923	13993
123	931	13985
124	937	13951
125	942	13920
126	949	13902
127	956	13880
128	963	13867
129	970	13853
130	976	13831
131	983	13813
132	990	13798
133	997	13782
134	1004	13769
135	1011	13755
136	1018	13745
137	1025	13728
138	1032	13717
139	1035	13651
140	1040	13620
141	1047	13598
142	1055	13600
143	1061	13575
144	1068	13560
145	1074	13538
146	1081	13525
147	1088	13511
148	1094	13495
149	1100	13467
150	1106	13444
151	1112	13427
152	1120	13421
153	1127	13415
154	1131	13361
155	1137	13341
156	1143	13322
157	1151	13317
158	1158	13306
159	1164	13290
160	1171	13276
161	1173	13209
162	1179	13196
163	1187	13189
164	1193	13173
165	1199	13154
166	1206	13142
167	1213	13126
168	1219	13112
169	1227	13110
170	1235	13118
171	1243	13114
172	1250	13102
173	1257	13092
174	1265	13092
175	1272	13084
176	1280	13086
177	1288	13085
178	1296	13091
179	1304	13086
180	1312	13089
181	1320	13091
182	1328	13091
183	1335	13082
184	1344	13090
185	1351	13082
186	1361	13098
187	1368	13087
188	1377	13093
189	1383	13079
190	1391	13080
191	1399	13077
192	1407	13079
193	1414	13068
194	1422	13064
195	1429	13059
196	1435	13040
197	1443	13031
198	1450	13025
199	1454	12988
200	1463	12992
201	1469	12977
202	1476	12968
203	1482	12953
204	1490	12950
205	1498	12944
206	1505	12934
207	1511	12923
208	1519	12916
209	1527	12914
210	1534	12911
211	1542	12904
212	1549	12895
213	1555	12883
214	1562	12873
215	1569	12860
216	1576	12849
217	1582	12836
218	1590	12834
219	1594	12797
220	1602	12794
221	1609	12786
222	1617	12784
223	1623	12771
224	1630	12761
225	1634	12731
226	1640	12714
227	1648	12706
228	1655	12702
229	1661	12688
230	1668	12672
231	1674	12662
232	1681	12652
233	1689	12646
234	1695	12632
235	1700	12611
236	1706	12595
237	1713	12582
238	1718	12565
239	1724	12546
240	1731	12533
241	1738	12528
242	1744	12514
243	1751	12506
244	1757	12492
245	1764	12480
246	1771	12472
247	1778	12460
248	1785	12458
249	1793	12450
250	1798	12434
251	1805	12420
252	1811	12406
253	1817	12393
254	1824	12384
255	1827	12350
256	1834	12342
257	1841	12330
258	1847	12317
259	1854	12310
260	1861	12300
261	1869	12301
262	1876	12295
263	1884	12290
264	1890	12280
265	1898	12274
266	1905	12270
267	1910	12245
268	1918	12247
269	1925	12237
270	1932	12228
271	1939	12221
272	1947	12218
273	1954	12211
274	1961	12202
275	1967	12188
276	1975	12186
277	1981	12175
278	1988	12165
279	1994	12150
280	2001	12145
281	2008	12138
282	2016	12135
283	2023	12126
284	2030	12118
285	2037	12108
286	2045	12108
287	2052	12099
288	2055	12070
289	2063	12067
290	2071	12064
291	2079	12065
292	2085	12052
293	2092	12044
294	2100	12041
295	2107	12032
296	2114	12025
297	2121	12018
298	2128	12010
299	2133	11991
300	2139	11976
301	2146	11968
302	2153	11959
303	2159	11945
304	2166	11942
305	2173	11934
306	2177	11908
307	2183	11898
308	2189	11885
309	2196	11877
310	2204	11872
311	2210	11860
312	2216	11848
313	2222	11834
314	2229	11825
315	2235	11816
316	2242	11807
317	2249	11799
318	2255	11788
319	2262	11780
320	2269	11770
321	2277	11769
322	2283	11758
323	2289	11746
324	2296	11736
325	2302	11725
326	2309	11716
327	2316	11709
328	2323	11702
329	2330	11697
330	2337	11688
331	2343	11677
332	2350	11667
333	2357	11658
334	2365	11658
335	2371	11645
336	2378	11638
337	2384	11625
338	2391	11618
339	2396	11603
340	2402	11590
341	2409	11581
342	2415	11572
343	2422	11563
344	2428	11553
345	2435	11545
346	2442	11534
347	2449	11529
348	2455	11517
349	2462	11510
350	2467	11494
351	2474	11487
352	2481	11478
353	2487	11468
354	2495	11463
355	2501	11453
356	2507	11442
357	2514	11433
358	2521	11426
359	2528	11420
360	2535	11411
361	2541	11402
362	2548	11395
363	2555	11386
364	2562	11382
365	2569	11372
366	2576	11364
367	2583	11358
368	2590	11352
369	2597	11343
370	2603	11332
371	2610	11324
372	2618	11323
373	2625	11314
374	2630	11302
375	2638	11296
376	2645	11290
377	2652	11284
378	2660	11278
379	2667	11272
380	2673	11262
381	2680	11255
382	2687	11247
383	2694	11241
384	2701	11233
385	2708	11227
386	2716	11222
387	2724	11219
388	2730	11207
389	2736	11198
390	2743	11189
391	2750	11182
392	2756	11175
393	2763	11165
394	2769	11155
395	2776	11148
396	2782	11138
397	2789	11130
398	2796	11123
399	2803	11115
400	2809	11106
401	2817	11102
402	2823	11090
403	2830	11083
404	2837	11077
405	2844	11070
406	2850	11058
407	2857	11052
408	2863	11042
409	2871	11036
410	2876	11024
411	2882	11014
412	2889	11004
413	2896	10998
414	2904	10993
415	2910	10985
416	2919	10985
417	2926	10976
418	2932	10966
419	2938	10956
420	2946	10951
421	2952	10942
422	2959	10934
423	2965	10926
424	2973	10922
425	2980	10915
426	2987	10907
427	2993	10897
428	3000	10889
429	3006	10880
430	3013	10870
431	3020	10864
432	3027	10858
433	3034	10851
434	3041	10844
435	3047	10835
436	3054	10826
437	3060	10815
438	3065	10802
439	3072	10795
440	3079	10787
441	3086	10781
442	3093	10773
443	3099	10763
444	3107	10761
445	3114	10754
446	3120	10744
447	3127	10736
448	3135	10733
449	3141	10721
450	3147	10712
451	3154	10704
452	3160	10694
453	3168	10690
454	3175	10683
455	3181	10675
456	3188	10669
457	3195	10661
458	3201	10652
459	3207	10641
460	3215	10636
461	3221	10627
462	3227	10616
463	3235	10612
464	3241	10604
465	3248	10596
466	3254	10584
467	3261	10577
468	3268	10572
469	3275	10563
470	3281	10556
471	3288	10547
472	3295	10540
473	3301	10531
474	3308	10523
475	3314	10515
476	3321	10507
477	3328	10500
478	3334	10491
479	3342	10488
480	3349	10479
481	3355	10471
482	3362	10463
483	3370	10458
484	3378	10454
485	3384	10447
486	3391	10440
487	3399	10435
488	3405	10424
489	3411	10416
490	3419	10411
491	3426	10403
492	3432	10394
493	3439	10387
494	3446	10380
495	3453	10374
496	3459	10365
497	3466	10357
498	3472	10347
499	3479	10341
500	3486	10334
501	3494	10329
502	3500	10320
503	3506	10311
504	3513	10303
505	3520	10298
506	3527	10288
507	3533	10279
508	3539	10271
509	3546	10265
510	3553	10256
511	3559	10248
512	3566	10241
513	3574	10235
514	3581	10229
515	3588	10222
516	3595	10217
517	3602	10209
518	3609	10201
519	3614	10190
520	3621	10184
521	3628	10176
522	3635	10169
523	3643	10165
524	3649	10155
525	3656	10148
526	3662	10140
527	3669	10132
528	3676	10126
529	3684	10121
530	3691	10116
531	3698	10108
532	3705	10101
533	3712	10094
534	3718	10084
535	3724	10075
536	3732	10070
537	3739	10065
538	3746	10058
539	3754	10052
540	3762	10049
541	3769	10041
542	3777	10038
543	3783	10029
544	3790	10023
545	3796	10012
546	3802	10004
547	3810	9999
548	3817	9993
549	3825	9987
550	3831	9978
551	3836	9967
552	3842	9957
553	3849	9949
554	3856	9943
555	3864	9939
556	3872	9935
557	3881	9933
558	3888	9927
559	3894	9918
560	3901	9909
561	3907	9901
562	3914	9893
563	3921	9887
564	3928	9881
565	3936	9876
566	3944	9870
567	3951	9865
568	3959	9861
569	3966	9854
570	3975	9850
571	3985	9852
572	3995	9853
573	4007	9859
574	4018	9859
575	4025	9855
576	4035	9854
577	4045	9855
578	4059	9863
579	4070	9866
580	4078	9863
581	4087	9861
582	4100	9869
583	4122	9895
584	4131	9894
585	4141	9894
586	4152	9895
587	4160	9892
588	4171	9893
589	4180	9890
590	4189	9888
591	4200	9891
592	4209	9887
593	4218	9885
594	4229	9887
595	4239	9888
596	4249	9886
597	4258	9883
598	4266	9879
599	4275	9876
600	4285	9875
601	4293	9871
602	4302	9868
603	4309	9861
604	4318	9857
605	4326	9851
606	4335	9849
607	4342	9841
608	4351	9839
609	4359	9834
610	4368	9831
611	4376	9826
612	4385	9821
613	4392	9814
614	4400	9809
615	4407	9803
616	4415	9796
617	4422	9789
618	4429	9781
619	4437	9776
620	4443	9767
621	4451	9760
622	4457	9752
623	4465	9747
624	4472	9739
625	4480	9733
626	4489	9731
627	4502	9736
628	4511	9732
629	4518	9725
630	4525	9718
631	4532	9710
